listing_id,title,description,listing_type,property_type,category_original,district,location,address,price_lkr,price_basis,sale_total_price_lkr,rent_monthly_lkr,bedrooms,bathrooms,land_size_perches,house_size_sqft,property_size_sqft,land_type,property_subtype,features,posted_date,deactivation_date,geo_region,is_verified,membership_level,member_since,contact_number
apartment-for-rent-in-bandarawela-town-for-rent-badulla,Apartment for Rent in Bandarawela Town,"Two Bedroom, Furnished Apartment Available for Rent in Bandarawela Town.",rent,apartment,Apartment Rentals,Badulla,Bandarawela,"Welimada Road, Bandarawela.",55000.0,per_month,,55000.0,4,2,,,1200.0,,,,2022-12-23,2023-02-21,LK-81,false,free,,Not mentioned in ad
furnished-apartment-for-rent-nuwara-eliya-for-rent-nuwara-eliya,"Furnished Apartment for Rent, Nuwara Eliya","Furnished Apartment for Rent, Nuwara Eliya",rent,apartment,Apartment Rentals,Nuwara Eliya,Nuwara Eliya City,"No.5/2, BroomField Avenue",160000.0,per_month,,160000.0,2,2,,,700.0,,,,2023-02-12,2023-02-12,LK-23,false,plus,October 2019,Not mentioned in ad
14-bedroom-hotel-for-sale-in-bandarawela-for-sale-badulla-1,14 Bedroom Hotel for sale in Bandarawela,• Our Reference No LC 1182 (Please quote this reference number when inquiring) 120 Perch Property in Bandarawela off Welimada Road Ideal for Hotel / Guest House Opera...,sale,commercial,Commercial Properties For Sale,Badulla,Bandarawela,,150000000.0,total,150000000.0,,,,,,10000.0,,Hotel,,2023-01-21,2022-05-20,LK-81,true,premium,May 2016,Not mentioned in ad
architecturally-designed-house-for-sale-in-piliyandala-kesbewa-for-sale-colombo-12,Architecturally Designed House for Sale in Piliyandala Kesbewa,Architecturally designed 2 Story luxury house for sale in Piliyandala Kesbewa. 5 Bedrooms with 3 bathrooms. Attached bathroom for master bedroom. Master bedroom air condi...,sale,house,Houses For Sale,Colombo,Piliyandala,Halpita - Kesbewa,26000000.0,total,26000000.0,,5,3,6.0,2445.0,,,,,2023-01-21,2023-03-22,LK-11,true,premium,July 2020,Not mentioned in ad
iddmk-vikinniimtt-piliyndl-suvaarpol-for-sale-colombo,ඉඩමක් විකිණීමට පිලියන්දල සුවාරපොල,📍පිළියන්දල නගරයට 2km 📍හැඩිගම පිලියන්දල බස් පාරට මුහුණලා 📍නව හැඩිගම පාරට 300m 📍සුවරපොල හන්දියටම 1km 📍Negbo South International පාසලට මිනිත්තු 10 📍Dharmaraja මහා විද...,sale,land,Land For Sale,Colombo,Piliyandala,සුවාරපොල,7400000.0,total,7400000.0,,,,6.3,,,"Residential, Other",,,2022-12-12,2023-02-10,LK-11,true,premium,July 2022,Not mentioned in ad
miigmuv-251-miirigm-bs-paartt-muhunnlaa-vyaapaarik-bim-kotts-for-sale-gampaha-8,මීගමුව 251 මීරිගම බස් පාරට මුහුණලා ව්‍යාපාරික බිම් කොටස්,Ideal investment opportunity to invest in commercial and residential property. ✅Walking Distance to Katana Town ✅10 minutes drive to Negombo Town. ✅10 minutes drive to OK...,sale,land,Land For Sale,Gampaha,Negombo,Katana - Negombo,305000.0,per_perch,3050000.0,,,,10.0,,,"Commercial, Residential",,,2023-01-17,2023-03-18,LK-12,true,premium,August 2022,Not mentioned in ad
migmuven-lssn-iddmk-for-sale-gampaha,මිගමුවෙන් ලස්සන ඉඩමක්,✨මීගමුව නගරයෙන් මාස 12ක් පොලී නැතිව ගෙවන්න ගන්න ඉඩමක් !✨ දිනෙන් දින දේපළ වටිනාකම ඉහල යන මීගමුව නගරයෙන් තාප්ප හා ගේට්ටු වලින් වටවූ සද්දන්ත ඉඩමක් සමග මෙන්න ඔබටත් කදිම ආයෝජන...,sale,land,Land For Sale,Gampaha,Mirigama,,390000.0,per_perch,3900000.0,,,,10.0,,,Residential,,,2023-01-24,2023-03-25,LK-12,false,premium,January 2016,Not mentioned in ad
shop-for-rental-for-rent-jaffna-1,Shop for Rent Jaffna,"Ground floor 24x20 shop for rental, very near K.K.S Road, Nachimar Kovilady, Sivapiragasam Road,Vanarpannai, Jaffna. (within jaffna city municipal Area). கீழ் கடை (20×2...",rent,commercial,Commercial Property Rentals,Jaffna,Jaffna City,"146A, Sivapiragasam Road, Vannapannai, Jaffna",18000.0,per_month,,18000.0,,,,,450.0,,Shop,,2023-03-03,2023-05-02,LK-41,false,free,,Not mentioned in ad
land-ja-ela-for-sale-gampaha-33,Land Ja-Ela,Ja ela හයිවේ එක ළඟ ඉඩම සියලුම පහසුකම් වලින් සපිරි අගනා බිම් කොටස් විකිණීමට සුපිරි පාසල් supermarket ඇත පොලී රහිතව ගෙවන්න අදම අමතන්න මොහාන් මේ මාසයේ අගනා වාසි හිමි කරගන්න...,sale,land,Land For Sale,Gampaha,Ja-Ela,jaela,550000.0,per_perch,4400000.0,,,,8.0,,,"Residential, Other",,,2022-12-20,2023-02-18,LK-12,true,premium,July 2022,Not mentioned in ad
suvisheessi-bim-kotts-polii-rhitv-gevnn-gnn-piliyndl-pilliyndl-for-sale-colombo,සුවිශේෂි බිම් කොටස් පොලී රහිතව ගෙවන්න් ගන්න පිලියන්දල පිළියන්දල,"💫පිළියන්දල වීර උදිත මාවතේ සියලු පහසුකම් සහිත නේවාසික🏠️ බිම් කොටස්, කොලඹට අසන්නව ඔබේ නිවහන ඉදි කරන්න. 🍄 පිළියන්දල හංදියටම 2 km. 🍄 නව හදිගම පාරට 300 m. 🍄 295 පිළියන්...",sale,land,Land For Sale,Colombo,Piliyandala,"piliyandala,Hadigama",950000.0,per_perch,5937500.0,,,,6.25,,,"Residential, Other",,,2022-12-27,2023-02-25,LK-11,true,premium,January 2022,Not mentioned in ad
sihin-nivstt-iddmk-kahathuduwa-for-sale-colombo-1,සිහින නිවසට ඉඩමක් - Kahathuduwa,කහතුඩුව වටිනා ඉඩමක් ළඟදීම ඔබ වෙතට. 🟨 කහතුඩුව අධිවේගී පිවිසුමට ආසන්නයේ 🟨 120 බස් පාරට මිටර් 300 යි . ⭕සියලු පහසුකම් සහිතයි ⛲ නළ ජල පහසුකම් 💡තෙකලා විදුලිය. 🛣️අඩි...,sale,land,Land For Sale,Colombo,Piliyandala,Kahathuduwa,600000.0,per_perch,3600000.0,,,,6.0,,,"Residential, Other",,,2023-02-25,2023-04-26,LK-11,true,premium,April 2019,Not mentioned in ad
house-for-sale-menikhinna-for-sale-kandy-2,House For Sale - Menikhinna,"මැණික්හින්න, වරාපිටිය හන්දියේ සිට කිලෝමීටර් 3ක් ඇතුලත පිහිටි නිවස විකිණීමට තිබේ. පල්ලෙකැලේ පළාත් සභා සංකීර්ණය, පල්ලෙකැලේ ජාත්‍යන්තර ක්‍රීඩාංගණය, කර්මාන්ත පුරවරය (BOI), ක...",sale,house,Houses For Sale,Kandy,Kundasale,Menikhinna,9000000.0,total,9000000.0,,3,1,20.0,1500.0,,,,,2023-04-01,2023-05-31,LK-21,false,free,February 2017,Not mentioned in ad
rooms-for-rent-for-rent-kegalle-4,Rooms for Rent - Ambanpitiya,"කාමර 2ක් කුලියට දිමට තිබේ.විදුලිය,ජල තිබෙන අතර කොලබ,නුවර ප්‍රධාන පාරට 50m දුරින් තිබේ",rent,room_annex,Room & Annex Rentals,Kegalle,Kegalle City,pitiyegedarawatta ambanpitiya,4500.0,per_month,,4500.0,2,1,,,,,Portion,"Private entrance, Lower, Upper",2023-01-05,2023-03-06,LK-92,false,free,,Not mentioned in ad
thalawathugoda-kalalgoda-for-sale-colombo-2,thalawathugoda kalalgoda,# water # electricity # carpeted road # clear deeds # 18 month intereste free payment # bank loans facilities,sale,land,Land For Sale,Colombo,Talawatugoda,,1875000.0,per_perch,13125000.0,,,,7.0,,,Residential,,,2023-02-27,2023-04-28,LK-11,false,premium,August 2022,Not mentioned in ad
piliyandala-suwarapola-valuable-blocks-for-sale-for-sale-colombo,Piliyandala - Suwarapola Valuable Blocks for sale,"✅පිළියන්දල කටුබැද්ද බස් පාරෙන්, සුවාරපොල හන්දියේ දම්පේ පාරෙ ඉඩම පිහිටා ඇත. 🔥මොරටුව සරසවියට මිනිත්තු 10 න් 🔥පිළියන්දල නගරයට මිනිත්තු 7න් ⭐දම්පේ පාර ⭐මඩපාත පාර ⭐වනිගසූර...",sale,land,Land For Sale,Colombo,Piliyandala,පිළියන්දල,1050000.0,per_perch,7875000.0,,,,7.5,,,"Residential, Other",,,2023-02-16,2023-04-17,LK-11,true,premium,July 2022,Not mentioned in ad
